Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1987,10,21,3,642,630,735,727,PS,1503,NA,53,57,NA,8,12,LAX,SJC,308,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,1021,1020,1124,1116,PS,1550,NA,63,56,NA,8,1,SJC,BUR,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,2055,2035,2218,2157,PS,1589,NA,83,82,NA,21,20,SAN,SMF,480,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1332,1320,1431,1418,PS,1655,NA,59,58,NA,13,12,BUR,SJC,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,629,630,746,742,PS,1702,NA,77,72,NA,4,-1,SMF,LAX,373,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1446,1343,1547,1448,PS,1729,NA,61,65,NA,59,63,LAX,SJC,308,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,928,930,1052,1049,PS,1763,NA,84,79,NA,3,-2,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,10,6,859,900,1134,1123,PS,1800,NA,155,143,NA,11,-1,SEA,LAX,954,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,1833,1830,1929,1926,PS,1831,NA,56,56,NA,3,3,LAX,SJC,308,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1041,1040,1157,1155,PS,1864,NA,76,75,NA,2,1,SFO,LAS,414,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1608,1553,1656,1640,PS,1907,NA,48,47,NA,16,15,LAX,FAT,209,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,949,940,1055,1052,PS,1939,NA,66,72,NA,3,9,LGB,SFO,354,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,1902,1847,2030,1951,PS,1973,NA,88,64,NA,39,15,LAX,OAK,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,16,5,1910,1838,2052,1955,TW,19,NA,162,137,NA,57,32,STL,DEN,770,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1130,1133,1237,1237,TW,59,NA,187,184,NA,0,-3,STL,PHX,1262,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1400,1400,1920,1934,TW,102,NA,200,214,NA,-14,0,SNA,STL,1570,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,841,830,1233,1218,TW,136,NA,172,168,NA,15,11,TUS,STL,1245,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1500,1445,1703,1655,TW,183,NA,243,250,NA,8,15,STL,SFO,1736,NA,NA,0,NA,0,NA,NA,NA,NA,NA
